	Actual	Predicted	Utterance	Result
	unknown	unknown	how did serfdom develop in and then leave russia ?  	Sucess
	what	what	what films featured the character popeye doyle ?  	Sucess
	unknown	what	how can i find a list of celebrities ' real names ?  	Failed
	what	what	what fowl grabs the spotlight after the chinese year of the monkey ?  	Sucess
	what	what	what is the full form of .com ?  	Sucess
	what	what	what contemptible scoundrel stole the cork from my lunch ?  	Sucess
	what	what	what team did baseball 's st. louis browns become ?  	Sucess
	what	what	what is the oldest profession ?  	Sucess
	what	what	what are liver enzymes ?  	Sucess
	unknown	unknown	name the scar-faced bounty hunter of the old west .  	Sucess
	when	when	when was ozzy osbourne born ?  	Sucess
	unknown	unknown	why do heavier objects travel downhill faster ?  	Sucess
	who	who	who was the pride of the yankees ?  	Sucess
	who	who	who killed gandhi ?  	Sucess
	what	what	what is considered the costliest disaster the insurance industry has ever faced ?  	Sucess
	what	what	what sprawling u.s. state boasts the most airports ?  	Sucess
	what	what	what did the only repealed amendment to the u.s. constitution deal with ?  	Sucess
	unknown	unknown	how many jews were executed in concentration camps during wwii ?  	Sucess
	what	what	what is `` nine inch nails '' ?  	Sucess
	what	what	what is an annotated bibliography ?  	Sucess
	what	what	what is the date of boxing day ?  	Sucess
	what	what	what articles of clothing are tokens in monopoly ?  	Sucess
	unknown	unknown	name 11 famous martyrs .  	Sucess
	what	what	what 's the olympic motto ?  	Sucess
	what	what	what is the origin of the name ` scarlett ' ?  	Sucess
	what	what	what 's the second-most-used vowel in english ?  	Sucess
	who	who	who was the inventor of silly putty ?  	Sucess
	what	what	what is the highest waterfall in the united states ?  	Sucess
	unknown	what	name a golf course in myrtle beach .  	Failed
	unknown	unknown	which two states enclose chesapeake bay ?  	Sucess
	what	what	what does the abbreviation aids stand for ?  	Sucess
	what	what	what does a spermologer collect ?  	Sucess
	unknown	unknown	how many points make up a perfect fivepin bowling score ?  	Sucess
	unknown	unknown	which company that manufactures video-game hardware sells the `` super system '' ?  	Sucess
	unknown	unknown	how many community chest cards are there in monopoly ?  	Sucess
	what	what	what do mormons believe ?  	Sucess
	when	when	when did the neanderthal man live ?  	Sucess
	what	what	in what religion was isis the nature goddess ?  	Sucess
	unknown	unknown	where do the adventures of `` the swiss family robinson '' take place ?  	Sucess
	what	what	what relative of the racoon is sometimes known as the cat-bear ?  	Sucess
	unknown	unknown	how can i register my website in yahoo for free ?  	Sucess
	what	what	what was cash-conscious colonel edwin l. drake the first to drill ?  	Sucess
	unknown	unknown	how many people in the world speak french ?  	Sucess
	unknown	unknown	how many inches over six feet is the venus de milo ?  	Sucess
	unknown	unknown	how do they find or choose witnesses to an execution ?  	Sucess
	what	what	what 1920s cowboy star rode tony the wonder horse ?  	Sucess
	what	what	what cocktail inspired john doxat to write the book stirred-not shaken ?  	Sucess
	what	what	what isps exist in the caribbean ?  	Sucess
	unknown	unknown	how do you ask a total stranger out on a date ?  	Sucess
	what	what	what weapon is the mythological character apollo most proficient with ?  	Sucess
